time,frequency,confidence
3.6800000000,157.9151257551,0.1812241673
3.6900000000,157.4939008637,0.0662500039
3.7000000000,154.6932892440,0.2008695751
3.7100000000,151.2483416696,0.4049601853
3.7200000000,141.0043967249,0.3109897673
3.7300000000,131.9126440868,0.1687797904
3.7400000000,129.7771726275,0.0785417929
3.7500000000,132.8467163609,0.0685559139
3.7600000000,134.6276285829,0.0774959773
3.7700000000,130.4173687503,0.1742172539
3.7800000000,128.2344427767,0.2147615403
3.7900000000,141.9944756566,0.1790128797
3.8000000000,154.5742939799,0.3657975495
3.8100000000,154.0087123778,0.3197968006
3.8200000000,158.3663199540,0.1684285253
3.8300000000,169.7640975610,0.1303555816
3.8400000000,175.6819332093,0.0386626646
3.8500000000,164.5926137392,0.0281914156
3.8600000000,152.9427341779,0.0480326936
3.8700000000,152.9766357591,0.4059264660
3.8800000000,156.3664066288,0.5467123389
3.8900000000,157.6897751278,0.5816492438
3.9000000000,158.4578690420,0.4987053573
3.9100000000,158.3728935523,0.4775698185
3.9200000000,159.1089972478,0.2384472191
3.9300000000,160.4393099864,0.3934464753
3.9400000000,161.4502929488,0.2557559609
3.9500000000,162.7266290158,0.0974746570
3.9600000000,161.0017120449,0.0603745915
3.9700000000,155.9846322972,0.1614857912
3.9800000000,154.3580170875,0.5608755946
3.9900000000,154.4011456915,0.5157116652
4.0000000000,153.8855796446,0.2936399281
4.0100000000,143.0490316658,0.0389565080
4.0200000000,143.9444957119,0.1760773510
4.0300000000,147.1089913260,0.4964538515
4.0400000000,149.2996106445,0.6705961823
4.0500000000,148.3249354304,0.4031535685
4.0600000000,148.6625971987,0.1085192710
4.0700000000,144.2220440891,0.4864034355
4.0800000000,142.7407568035,0.2845612168
4.0900000000,148.3517696658,0.3717833459
4.1000000000,147.5107533747,0.5164518356
4.1100000000,146.4987743693,0.3542351723
4.1200000000,146.3274108489,0.2584240437
4.1300000000,142.2975257235,0.0484277494
4.1400000000,159.8351825913,0.0272992905
4.1500000000,174.5496905992,0.1449721605
4.1600000000,172.1035999128,0.0599532574
4.1700000000,158.7563889562,0.0351732932
4.1800000000,148.2441315006,0.0690703318
4.1900000000,138.6129199893,0.0381279066
4.2000000000,125.8024609977,0.0460112132
4.2100000000,114.7171131451,0.0336709358
4.2200000000,106.5792708619,0.0695373937
4.2300000000,121.7432940477,0.1666603535
4.2400000000,133.0901265221,0.0690721795
4.2500000000,134.4110388430,0.2062216401
4.2600000000,133.6324107725,0.1840670556
4.2700000000,133.8651900555,0.0642778426
4.2800000000,144.9644349506,0.2141194493
4.2900000000,151.3006002066,0.2525417209
4.3000000000,149.8427647652,0.3362343311
4.3100000000,149.5443835716,0.2409401983
4.3200000000,147.1194884676,0.1271822304
4.3300000000,148.4727850269,0.1369538307
4.3400000000,151.6612396522,0.0390981287
4.3500000000,151.6794220866,0.3111807406
4.3600000000,146.9928813178,0.2068761438
4.3700000000,141.9803009114,0.0852342397
4.3800000000,136.0664509646,0.1926426589
4.3900000000,130.9132649263,0.0809564143
4.4000000000,131.2090157770,0.1114064083
4.4100000000,143.0225254320,0.0373706445
4.4200000000,152.7615752808,0.0829366297
4.4300000000,140.7308910320,0.0820483938
4.4400000000,140.4677922090,0.0456868522
4.4500000000,138.0735387705,0.0487405062
4.4600000000,139.0812302025,0.1792890280
4.4700000000,157.4232777968,0.0297095180
4.4800000000,165.6335241041,0.0879971385
4.4900000000,175.6574429753,0.0559372306
4.5000000000,179.9203616659,0.3781376779
4.5100000000,180.1773834622,0.5087341070
4.5200000000,178.6134181681,0.4477431178
4.5300000000,178.8458725430,0.1777254343
4.5400000000,180.4767258646,0.1103764027
4.5500000000,177.7241721903,0.0489851385
4.5600000000,172.8960351921,0.1217578948
4.5700000000,154.0092697326,0.3153373599
4.5800000000,154.9534755835,0.5628044009
4.5900000000,157.7388820672,0.2354858816
4.6000000000,157.9147449066,0.2596472204
4.6100000000,157.8157745303,0.4610342979
4.6200000000,156.0129782637,0.4566011131
4.6300000000,145.6935118852,0.2050576508
4.6400000000,135.5231007307,0.1620600522
4.6500000000,135.1597361585,0.1644836962
4.6600000000,133.1297669642,0.0317464769
4.6700000000,147.7676432519,0.0736378580
4.6800000000,161.3985193237,0.0447604582
4.6900000000,154.1016080806,0.1580916047
4.7000000000,153.7248061410,0.2895984650
4.7100000000,154.6538655457,0.2709500790
4.7200000000,154.9861325666,0.0638516247
4.7300000000,151.2735370418,0.2133231461
4.7400000000,152.4086270284,0.0952184647
4.7500000000,150.9672943600,0.3112162054
4.7600000000,152.3640212184,0.5245211720
4.7700000000,151.7226445683,0.3186503053
4.7800000000,151.7893434205,0.0729599223
4.7900000000,154.7580813088,0.2272876799
4.8000000000,159.0910422374,0.6043693423
4.8100000000,161.6948347877,0.7802872062
4.8200000000,163.1721656111,0.8789662719
4.8300000000,163.6677492827,0.9096132517
4.8400000000,161.1707167108,0.8295822144
4.8500000000,157.4302188563,0.9220587015
4.8600000000,155.7417043381,0.9400122762
4.8700000000,153.7404646624,0.9080780745
4.8800000000,150.7280770243,0.9063426256
4.8900000000,147.8444430013,0.9049624801
4.9000000000,145.3101748712,0.8440907598
4.9100000000,142.2366580556,0.7723436356
4.9200000000,138.8315105148,0.8927233815
4.9300000000,136.7408876395,0.8721936345
4.9400000000,135.0485713787,0.9129890800
4.9500000000,133.9640850860,0.9465509057
4.9600000000,133.2688417613,0.9316894412
4.9700000000,132.6374272096,0.9412331581
4.9800000000,131.4748897668,0.9377678037
4.9900000000,130.2244831286,0.8933487535
5.0000000000,128.8605991618,0.8631350398
5.0100000000,127.1099922032,0.8887726068
5.0200000000,126.0417788040,0.9118621945
5.0300000000,125.7726650767,0.9135515690
5.0400000000,124.9676906559,0.9139919281
5.0500000000,123.9950292187,0.9363170862
5.0600000000,123.0186694112,0.9270090461
5.0700000000,122.2380938312,0.9139215946
5.0800000000,120.4215794078,0.7771387696
5.0900000000,117.8308306200,0.7643977404
5.1000000000,115.6023036283,0.8671190143
5.1100000000,113.5356987286,0.7954460382
5.1200000000,111.4627243044,0.8422837853
5.1300000000,110.6196600420,0.8648124933
5.1400000000,110.9927699187,0.7837595940
5.1500000000,112.9016038117,0.6794606447
5.1600000000,116.9208049946,0.6773505807
5.1700000000,122.5777998125,0.5913100839
5.1800000000,125.0160509336,0.8317927718
5.1900000000,126.7550956978,0.8921940327
5.2000000000,127.5373570754,0.9009379148
5.2100000000,127.3159868127,0.9031437635
5.2200000000,127.1581515866,0.9261565804
5.2300000000,127.9354658237,0.9261366725
5.2400000000,129.1658947559,0.8933582902
5.2500000000,130.3833162129,0.9106947184
5.2600000000,131.0776418618,0.9524177313
5.2700000000,131.3909492469,0.9576326013
5.2800000000,131.9586648248,0.9419024587
5.2900000000,132.8482243487,0.9475778341
5.3000000000,134.4853593829,0.9376087785
5.3100000000,136.9484694168,0.8761473298
5.3200000000,139.7604714627,0.8543143868
